name,college,number,id,draft_round,position,dob,draft_year,draft_pick
Noah Brown,Ohio State,5,3121409,7,WR,"Jan 6, 1996",2017,239
Alfred Morris,Florida Atlantic,6,15009,6,RB,"Dec 12, 1988",2012,173
Cooper Rush,Central Michigan,7,2972515,,QB,"Nov 21, 1993",,
Ronnie Hillman,San Diego State,,14895,3,,"Sep 14, 1991",2012,67
Kellen Moore,Boise State,,14882,,,"Jul 12, 1989",,
Darren McFadden,Arkansas,,11238,1,,"Aug 27, 1987",2008,4
Xavier Woods,Louisiana Tech,,3040572,6,,"Jul 26, 1995",2017,191
Mark Nzeocha,Wyoming,3,2576030,7,LB,"Jan 19, 1990",2015,236
Taco Charlton,Michigan,7,3045210,1,DE,"Nov 7, 1994",2017,28
David Irving,Iowa State,,2577162,,,"Aug 18, 1993",,
Lenny Jones,Nevada,1,2573947,,DE,"Aug 8, 1991",,
Robert Blanton,Notre Dame,,15079,5,,"Sep 7, 1989",2012,139
Anthony Hitchens,Iowa,3,16883,4,LB,"Jun 10, 1992",2014,119
Orlando Scandrick,Boise State,,11366,5,,"Feb 10, 1987",2008,143
Nolan Carroll II,Maryland,,13333,5,,"Jan 18, 1987",2010,145
Zach Wood,SMU,9,2575788,,LS,"Jan 10, 1993",,
Clay DeBord,Eastern Washington,,2977180,,,"May 13, 1992",,
Lewis Neal,LSU,6,3042744,,DT,"May 17, 1995",,
Lucas Wacha,Wyoming,,2976185,,,"May 20, 1993",,
Terrance Williams,Baylor,3,15878,3,WR,"Sep 18, 1989",2013,74
Geoff Swaim,Texas,7,3046704,7,TE,"Sep 16, 1993",2015,246
Dan Bailey,Oklahoma State,5,14322,,PK,"Jan 26, 1988",,
Luke McCown,Louisiana Tech,,5631,4,,"Jul 12, 1981",2004,106
Chris Jones,Carson-Newman,,14723,,,"Jul 21, 1989",,
Dejaun Butler,Hawai'i,,3933060,,,"Feb 2, 1994",,
Benson Mayowa,Idaho,1,16528,,DE,"Aug 3, 1991",,
Jaylon Smith,Notre Dame,4,3052896,2,LB,"Jun 14, 1995",2016,34
Dez Bryant,Oklahoma State,,13215,1,,"Nov 4, 1988",2010,24
Jason Witten,Tennessee,,4527,3,,"May 6, 1982",2003,69
Cole Beasley,SMU,1,15349,,WR,"Apr 26, 1989",,
James Hanna,Oklahoma,,14906,6,,"Jul 14, 1989",2012,186
Dak Prescott,Mississippi State,4,2577417,4,QB,"Jul 29, 1993",2016,135
Sean Lee,Penn State,0,13284,2,LB,"Jul 22, 1986",2010,55
DeMarcus Lawrence,Boise State,0,16802,2,DE,"Apr 28, 1992",2014,34
Maliek Collins,Nebraska,6,3040471,3,DT,"Apr 8, 1995",2016,67
Stephen Paea,Oregon State,,14049,2,,"May 11, 1988",2011,53
John Green,UConn,,2974235,,,"Nov 12, 1993",,
Ezekiel Elliott,Ohio State,1,3051392,1,RB,"Jul 22, 1995",2016,4
Tyrone Crawford,Boise State,8,14987,3,DE,"Nov 22, 1989",2012,81
Justin Durant,Hampton,,10492,2,,"Sep 21, 1985",2007,48
Jourdan Lewis,Michigan,7,3045207,3,CB,"Aug 31, 1995",2017,92
Brian Price,UT San Antonio,2,3040661,,DT,"Jun 24, 1994",,
Chaz Green,Florida,9,2516053,3,OT,"Apr 8, 1992",2015,91
Ryan Switzer,North Carolina,5,3039725,4,WR,"Nov 4, 1994",2017,133
Travis Frederick,Wisconsin,,15793,1,,"Mar 18, 1991",2013,31
Justin March-Lillard,Akron,3,2574282,,LB,"Jul 5, 1993",,
Mike Nugent,Ohio State,6,8461,2,PK,"Mar 2, 1982",2005,47
Bene Benwikere,San Jose State,3,16872,5,CB,"Sep 3, 1991",2014,148
Byron Bell,New Mexico,4,14753,,OT,"Jan 17, 1989",,
Zack Martin,Notre Dame,,16709,1,,"Nov 20, 1990",2014,16
L.P. Ladouceur,California,1,9349,,LS,"Mar 13, 1981",,
Datone Jones,UCLA,6,15798,1,DE,"Jul 24, 1990",2013,26
Daniel Ross,None,8,4220624,,DT,"Mar 15, 1993",,
La'el Collins,LSU,1,2577302,,OT,"Jul 26, 1993",,
Zach Cunningham,Vanderbilt,1,3051750,2,LB,"Dec 12, 1994",2017,57
Robert Nelson Jr.,Arizona State,,17416,,,"Feb 16, 1990",,
Bryce Jones,Akron,7,2969856,,CB,"Aug 20, 1994",,
Gimel President,Illinois,,2971022,,,"Jun 24, 1993",,
K.J. Dillon,West Virginia,,2976629,5,,"May 11, 1993",2016,159
Dylan Cole,Missouri State,1,2986109,,LB,"May 19, 1994",,
Brian Peters,Northwestern (IA),2,2265764,,LB,"Oct 31, 1988",,
Brennan Scarlett,Stanford,7,2576885,,LB,"Jul 31, 1993",,
Carlos Watkins,Clemson,1,2977681,4,DE,"Dec 5, 1993",2017,142
Denzel Rice,Coastal Carolina,7,2565759,,CB,"Mar 31, 1993",,
Marcus Roberson,Florida,,2578582,,,"Oct 4, 1992",,
Brandon Dunn,Louisville,2,17061,,NT,"Sep 5, 1992",,
Tony Washington Jr.,Oregon,1,2517002,,LB,"Jun 1, 1992",,
Avery Williams,Temple,,2976268,,,"Sep 2, 1994",,
Matthew Godin,Michigan,9,2977636,,DE,"Sep 30, 1993",,
Eli Ankou,UCLA,4,3008150,,DT,"Jun 8, 1994",,
Brian Cushing,USC,,12453,1,,"Jan 24, 1987",2009,15
Johnathan Joseph,South Carolina,4,9610,1,CB,"Apr 16, 1984",2006,24
Kareem Jackson,Alabama,,13254,1,,"Apr 10, 1988",2010,20
Eddie Pleasant,Oregon,,15612,,,"Dec 17, 1988",,
Jadeveon Clowney,South Carolina,0,16734,1,DE,"Feb 14, 1993",2014,1
Alfred Blue,LSU,8,16921,6,RB,"Apr 27, 1991",2014,181
Kurtis Drummond,Michigan State,,2515405,,,"Jan 29, 1992",,
Akeem Hunt,Purdue,1,2576408,,RB,"Feb 22, 1993",,
Eric Lee,South Florida,5,2970397,,DE,"Aug 6, 1994",,
Andre Hal,Vanderbilt,,17467,7,,"May 30, 1992",2014,216
Corey Moore,Georgia,,2578554,,,"Jan 28, 1993",,
Dee Virgin,West Alabama,4,2973647,,CB,"Oct 29, 1993",,
D.J. Reader,Clemson,8,2977670,5,NT,"Jul 1, 1994",2016,166
Dare Ogunbowale,Wisconsin,4,2983509,,RB,"May 4, 1994",,
Malik Smith,San Diego State,,3047516,,,"Aug 28, 1995",,
Chris Thompson,Florida,4,3054970,,WR,"May 9, 1994",,
Dayon Pratt,East Carolina,,2971997,,,"Apr 23, 1993",,
Ufomba Kamalu,Miami,4,3051940,,LB,"Nov 2, 1992",,
Daniel Ross,None,8,4220624,,DT,"Mar 15, 1993",,
Dres Anderson,Utah,8,2514542,,WR,"Jul 20, 1992",,
Evan Baylis,Oregon,5,2971280,,TE,"Nov 18, 1993",,
Riley McCarron,Iowa,7,2988624,,WR,"Jun 16, 1993",,
Jaelen Strong,Arizona State,0,3043263,3,WR,"Jan 25, 1994",2015,70
DeAndre Hopkins,Clemson,0,15795,1,WR,"Jun 6, 1992",2013,27
Justin Hardee,Illinois,4,2970625,,CB,"Feb 7, 1994",,
Ryan Griffin,UConn,4,15887,6,TE,"Jan 11, 1990",2013,201
Braxton Miller,Ohio State,3,2570987,3,WR,"Nov 30, 1992",2016,85
RaShaun Allen,Southern,,17423,,,"Feb 25, 1990",,
Tyler Ervin,San Jose State,1,2573974,4,RB,"Oct 7, 1993",2016,119
Devin Street,Pittsburgh,,16815,5,,"Mar 30, 1991",2014,146
D'Onta Foreman,Texas,7,3125116,3,RB,"Apr 24, 1996",2017,89
Lamar Miller,Miami,6,14886,4,RB,"Apr 25, 1991",2012,97
Wendall Williams,Cumberland ,,3933497,,,"Sep 18, 1990",,
Ka'imi Fairbairn,UCLA,7,2971573,,PK,"Jan 29, 1994",,
Nick Novak,Maryland,,9329,,,"Aug 21, 1981",,
Deshaun Watson,Clemson,4,3122840,1,QB,"Sep 14, 1995",2017,12
Brandon Weeden,Oklahoma State,3,14878,1,QB,"Oct 14, 1983",2012,22
Shane Lechler,Texas A&M,,2273,5,,"Aug 7, 1976",2000,142
Tom Savage,Pittsburgh,2,16943,4,QB,"Apr 26, 1990",2014,135
Shakeel Rashad,North Carolina,,2970012,,,"Mar 17, 1994",,
Treston Decoud,Oregon State,,2985844,5,,"Aug 1, 1993",2017,169
Rickey Hatley,Missouri,4,2971436,,NT,"Mar 29, 1994",,
J.J. Watt,Wisconsin,9,13979,1,DE,"Mar 22, 1989",2011,11
Kevin Johnson,Wake Forest,0,2511523,1,CB,"Aug 5, 1992",2015,16
Benardrick McKinney,Mississippi State,5,2577429,2,LB,"Nov 19, 1992",2015,43
Marcus Gilchrist,Clemson,,14018,2,,"Dec 8, 1988",2011,50
Bruce Ellington,South Carolina,2,16946,4,WR,"Aug 22, 1991",2014,106
Stephen Anderson,California,9,2576854,,TE,"Jan 30, 1993",,
Germone Hopper,Clemson,,2977663,,,"Oct 22, 1993",,
Christian Covington,Rice,5,2580666,6,DE,"Oct 16, 1993",2015,216
Jordan Todman,UConn,,14186,6,,"Feb 24, 1990",2011,183
Whitney Mercilus,Illinois,9,14936,1,LB,"Jul 21, 1990",2012,26
Xavier Su'a-Filo,UCLA,,16801,2,,"Jan 1, 1991",2014,33
Joel Heath,Michigan State,3,2576267,,DE,"Jun 18, 1993",,
C.J. Fiedorowicz,Iowa,,16766,3,,"Oct 22, 1991",2014,65
Jon Weeks,Baylor,6,13729,,LS,"Feb 17, 1986",,
Johnthan Banks,Mississippi State,,15824,2,,"Oct 3, 1989",2013,43
Will Fuller V,Notre Dame,5,3052876,1,WR,"Apr 16, 1994",2016,21
Jay Prosch,Auburn,5,16875,6,FB,"Aug 21, 1992",2014,211
Marcus Williams,North Dakota State,5,2508192,,CB,"Mar 24, 1991",,
Lamarr Houston,Texas,,13277,2,,"Jun 24, 1987",2010,44
Marcus Burley,Delaware,,16131,,,"Jul 16, 1990",,
Ben Heeney,Kansas,0,2577219,5,LB,"May 13, 1992",2015,140
Nick Martin,Notre Dame,,2579850,2,,"Apr 29, 1993",2016,50
Jelani Jenkins,Florida,,15985,4,,"Mar 13, 1992",2013,104
Angelo Blackson,Auburn,7,2574582,4,DE,"Nov 14, 1992",2015,100
Chris Clark,Southern Mississippi,,11689,,,"Oct 1, 1985",,
Andre Ellington,Clemson,,15893,6,,"Feb 3, 1989",2013,187
LaTroy Lewis,Tennessee,4,2972232,,LB,"Nov 9, 1993",,
DeAndrew White,Alabama,5,2515962,,WR,"Oct 16, 1991",,
T.J. Yates,North Carolina,,14114,5,,"May 28, 1987",2011,152
Cobi Hamilton,Arkansas,2,15983,6,WR,"Nov 13, 1990",2013,197
Chunky Clements,Illinois,7,3042478,,DT,"Dec 3, 1994",,
Ryan Malleck,Virginia Tech,2,2577892,,TE,"Jul 22, 1993",,
Taylor Heinicke,Old Dominion,6,2565969,,QB,"Mar 15, 1993",,
Ibraheim Campbell,Northwestern,,2511090,4,,"May 13, 1992",2015,115
Chad Slade,Auburn,,2516029,,,"May 4, 1992",,
Jared Norris,Utah,2,2575997,,LB,"Jul 19, 1993",,
Dezmen Southward,Wisconsin,,16747,3,,"Oct 1, 1990",2014,68
David Mayo,Texas State,5,2972400,5,LB,"Aug 8, 1993",2015,169
Cole Luke,Notre Dame,2,3052883,,CB,"Jun 30, 1995",,
Jeremy Cash,Duke,2,2576378,,LB,"Dec 9, 1992",,
Colin Jones,TCU,,14117,6,,"Oct 27, 1987",2011,190
Zack Sanchez,Oklahoma,3,2976596,5,CB,"Oct 11, 1993",2016,141
Ben Jacobs,Fresno State,3,14739,,LB,"Apr 17, 1988",,
L.J. McCray,Catawba,,17212,,,"Jun 18, 1991",,
Shaq Thompson,Washington,4,2978313,1,LB,"Apr 21, 1994",2015,25
Damian Parms,Florida Atlantic,,2572986,,,"Oct 28, 1992",,
Zeek Bigger,East Carolina,,2575516,,,"Nov 6, 1992",,
Efe Obada,None,1,3734467,,DE,"Apr 13, 1992",,
Teddy Williams,UT San Antonio,,13922,,,"Jul 3, 1988",,
Larry Webster,Bloomsburg,,16869,4,,"Feb 14, 1990",2014,136
Eric Crume,Syracuse,,2577606,,,"Oct 18, 1993",,
Darrel Young,Villanova,,13097,,,"Apr 8, 1987",,
Kawann Short,Purdue,9,15862,2,DT,"Feb 2, 1989",2013,44
Thomas Davis,Georgia,8,8429,1,LB,"Mar 22, 1983",2005,14
Captain Munnerlyn,South Carolina,1,12703,7,CB,"Apr 10, 1988",2009,216
Kurt Coleman,Ohio State,,13340,7,,"Apr 1, 1988",2010,244
Wes Horton,USC,6,16431,,DE,"Dec 17, 1989",,
Zach Moore,Concordia-St. Paul,7,16959,6,DE,"Sep 5, 1990",2014,198
Bryan Cox Jr.,Florida,1,2980098,,DE,"Jun 25, 1994",,
Daeshon Hall,Texas A&M,4,3051807,3,DE,"Jun 14, 1995",2017,77
Luke Kuechly,Boston ,9,14938,1,LB,"Apr 20, 1991",2012,9
James Bradberry,Samford,4,2572841,2,CB,"Aug 4, 1993",2016,62
Jalen Simmons,South Carolina State,5,2580343,,RB,"Apr 1, 1992",,
Jeff Richards,Emporia State,3,4084949,,CB,"Jan 3, 1991",,
Arthur Miley,Southern,5,2568870,,LB,"Mar 3, 1993",,
Damiere Byrd,South Carolina,8,2577667,,WR,"Jan 27, 1993",,
Kelvin Benjamin,Florida State,3,16730,1,WR,"Feb 5, 1991",2014,28
Austin Duke,Charlotte,8,3050138,,WR,"Aug 3, 1993",,
Greg Olsen,Miami,8,10475,1,TE,"Mar 11, 1985",2007,31
Keyarris Garrett,Tulsa,,2575381,,,"Sep 26, 1992",,
Kaelin Clay,Utah,5,2516957,6,WR,"Jan 2, 1992",2015,184
Chris Manhertz,Canisius,2,2531358,,TE,"Apr 10, 1992",,
Devin Funchess,Michigan,7,2977609,2,WR,"May 21, 1994",2015,41
Mose Frazier,Memphis,4,2977874,,WR,"Aug 30, 1993",,
Trevor Graham,NC State,,14920,3,,"Jul 27, 1989",2012,69
Scott Simonson,Assumption,2,17391,,TE,"Apr 13, 1992",,
Cameron Artis-Payne,Auburn,4,3043097,5,RB,"Jun 23, 1990",2015,174
Christian McCaffrey,Stanford,2,3117251,1,RB,"Jun 7, 1996",2017,8
Graham Gano,Florida State,9,12460,,PK,"Apr 9, 1987",,
Harrison Butker,Georgia Tech,7,3055899,7,PK,"Jul 14, 1995",2017,233
Joe Webb,UAB,5,13484,6,QB,"Nov 14, 1986",2010,199
Fozzy Whittaker,Texas,3,15755,,RB,"Feb 2, 1989",,
Jonathan Stewart,Oregon,8,11247,1,RB,"Mar 21, 1987",2008,13
Michael Palardy,Tennessee,,17475,,,"Jul 6, 1992",,
Andy Lee,Pittsburgh,,5713,6,,"Aug 11, 1982",2004,188
Derek Anderson,Oregon State,,8627,6,,"Jun 15, 1983",2005,213
Garrett Gilbert,SMU,4,16809,6,QB,"Jul 1, 1991",2014,214
Star Lotulelei,Utah,8,15802,1,DT,"Dec 20, 1989",2013,14
Daryl Worley,West Virginia,6,3042436,3,CB,"Feb 22, 1995",2016,77
Charles L. Johnson,Georgia,,10527,3,,"Jul 10, 1986",2007,83
Mike Adams,Delaware,,5893,,,"Mar 24, 1981",,
Dan France,Michigan State,,17151,,,"Apr 1, 1991",,
Tyler Larsen,Utah,,17196,,,"Jul 8, 1991",,
Brenton Bersin,Wofford,,15547,,,"May 9, 1990",,
Alex Armah,West Georgia,0,4212884,6,RB,"May 17, 1994",2017,192
Eric Wallace,None,,2326150,,,"Dec 13, 1988",,
Ed Dickson,Oregon,4,13272,3,TE,"Jul 25, 1987",2010,70
Russell Shepard,LSU,8,16227,,WR,"Sep 17, 1990",,
Mario Addison,Troy,7,14320,,DE,"Sep 6, 1987",,
Julius Peppers,North Carolina,0,3530,1,DE,"Jan 18, 1980",2002,2
Devonte Johnson,Weber State,,2565729,,,"Jan 3, 1993",,
Curtis Samuel,Ohio State,0,3121427,2,WR,"Aug 11, 1996",2017,40
Cam Newton,Auburn,1,13994,1,QB,"May 11, 1989",2011,1
Toby Johnson,Georgia,5,3051674,,DT,"Sep 1, 1991",,
Ben Boulware,Clemson,,3045122,,,"Aug 7, 1994",,
Kyle Love,Mississippi State,3,13608,,DT,"Nov 18, 1986",,
Vernon Butler,Louisiana Tech,2,2971883,1,DT,"Jun 14, 1994",2016,30
Trai Turner,LSU,,16789,3,,"Jun 14, 1993",2014,92
Demetrious Cox,Michigan State,,2979535,,,"Apr 20, 1994",,
Kevon Seymour,USC,7,2971603,6,CB,"Nov 30, 1993",2016,218
Jairus Byrd,Oregon,,12613,2,,"Oct 7, 1986",2009,42
Andrew Gachkar,Missouri,,14141,7,,"Nov 4, 1988",2011,234
J.J. Jansen,Notre Dame,4,11759,,LS,"Jan 20, 1986",,
Matt Kalil,USC,5,14928,1,OT,"Jul 6, 1989",2012,4
Eric Wilson,Cincinnati,0,3056916,,LB,"Sep 26, 1994",,
Ben Gedeon,Michigan,2,3045212,4,LB,"Oct 16, 1994",2017,120
Terrell Sinkfield,Northern Iowa,5,16414,,CB,"Dec 10, 1990",,
Antone Exum Jr.,Virginia Tech,,16833,6,,"Feb 27, 1991",2014,182
Edmond Robinson,Newberry,8,3137087,7,LB,"Feb 23, 1992",2015,232
Marcus Sherels,Minnesota,5,13843,,CB,"Sep 30, 1987",,
Anthony Barr,UCLA,5,16711,1,LB,"Mar 18, 1992",2014,9
Anthony Harris,Virginia,,2577814,,,"Oct 9, 1991",,
Jayron Kearse,Clemson,,3045130,7,,"Feb 11, 1994",2016,244
Elijah Lee,Kansas State,7,3125073,7,LB,"Feb 8, 1996",2017,232
Shamar Stephen,UConn,8,16866,7,DT,"Feb 25, 1991",2014,220
Tashawn Bower,LSU,0,3042726,,DE,"Feb 18, 1995",,
Sam Brown,Missouri Western,,4002763,,,"Jul 30, 1992",,
Emmanuel Lamur,Kansas State,4,15640,,LB,"Jun 8, 1989",,
Will Sutton,Arizona State,6,16738,3,DT,"Oct 3, 1991",2014,82
Trae Waynes,Michigan State,6,2576283,1,CB,"Jul 25, 1992",2015,11
Ifeadi Odenigbo,Northwestern,5,2974353,7,DE,"Apr 8, 1994",2017,220
Everson Griffen,USC,7,13373,4,DE,"Dec 22, 1987",2010,100
Jaleel Johnson,Iowa,4,2979523,4,DT,"Jul 12, 1994",2017,109
Terence Newman,Kansas State,3,4463,1,CB,"Sep 4, 1978",2003,5
